"Herndon, L S - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Herndon, Lucien - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Herren, Gadi - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Herrod, W M - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Herron, Peter B - Age 21, Year: 1861 - First Cavalry, E-J"
"Herron, T F - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Hibbler, J E - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Hibbler, Robert - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Hibbler, Tollie - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Hickman, James A - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hicks, J A - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Hienay, F E - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hieway, Frank E - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Higgins, M O - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Higgins, Oscar M - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Higgins, Oscar - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Higgins, P M - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Higgs, J R - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Higgs, L R - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Higgs, Toonis - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"High, James M - Age [Blank], Year: 1862 - First Cavalry, E-J"
"High, James P - Age [Blank], Year: 1862 - First Cavalry, E-J"
"High, R H - Age [Blank], Year: 1863 - First Cavalry, E-J"
"High, Samuel - Age [Blank], Year: 1862 - First Cavalry, E-J"
"High, Silas - Age [Blank], Year: 1862 - First Cavalry, E-J"
"High, S M - Age [Blank], Year: 1862 - First Cavalry, E-J"
"High, W J - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Highway, Frank - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Highway, F E - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hill, A J - Age 19, Year: 1863 - First Cavalry, E-J"
"Hill, H D - Age 52, Year: 1861 - First Cavalry, E-J"
"Hill, James S - Age 18, Year: 1861 - First Cavalry, E-J"
"Hill, J B - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hill, J C - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hill, J W - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hill, N G - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Hill, S J - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hill, W E - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hilton, J L - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hinton, Lafayette F - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hinson, F M - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Hinton, George W - Age [Blank], Year: 1861 - First Cavalry, E-J"
"Hinton, L F - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hodge, F M - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hodges, F M - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hodges, John T - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hodges, Robert - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hodges, Robt S - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hodges, William - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hodges, W M - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hogge, James - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Holberg, Jacob - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Holcomb, E B - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Holcomb, Hosey C - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Holcomb, H N - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Holcomb, Hosea - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Holcomb, James - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Holcomb, W T - Age 25, Year: 1862 - First Cavalry, E-J"
"Holemes, Bryant Wesley - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Holliday, W F - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Holliday, W T - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hollins, Lafayette - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hollis, F - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hollis, Lafayette - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hollis, Martin V - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Holman, J C - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Holman, J M - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Holman, J N - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Holmes, B W - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Holmes, M - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Holshouser, M F - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Holt, C G - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Holt, D H - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Holt, James M - Age 23, Year: 1862 - First Cavalry, E-J"
"Holt, Richard - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Holyfee, Joshua - Age 17, Year: 1865 - First Cavalry, E-J"
"Honeycut, Anderson - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hood, J M - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Hood, William - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hood, William R - Age 30, Year: 1862 - First Cavalry, E-J"
"Hooper, George W - Age 21, Year: 1861 - First Cavalry, E-J"
"Hopper, L F - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Horn, Henry - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Horn, Henry T - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Horn, W A - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Hossey, E S - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Houston, J H - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Howard, J Mc - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Howard, Mc - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Howard, Thomas - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Howell, Hansel - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Howell, M - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Howell, J M G - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Howell, Mansell - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Howell, P N - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Howell, S P - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Howell, W L - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Howell, Wm P - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Howell, Wm R - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Howlett, H C - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Houze, Henry L - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Hoy, T C - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Hubbard, George H - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hubbard, John G - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hubbard, W M - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hudson, C L - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hudson, H A - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hudson, James E - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hudson, Jas E - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hudson, John B - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Hudson, John B - Age 23, Year: 1862 - First Cavalry, E-J"
"Hudson, O W - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hudson, William J - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hudson, W Jeff - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hughes, C M - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hughes, M L - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hughes, W A - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hughs, David A - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hughs, J R W - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hughs, R H - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Hughs, Thomas - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hughs, William A - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hullum, John - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Humes, I H - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Humes, Thomas W - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hunes, F W - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Huneycutt, Anderson - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Hunt, William B - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hunter, C M - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hunter, Henry D - Age 20, Year: 1862 - First Cavalry, E-J"
"Hunter, Henry M - Age [Blank], Year: 1861 - First Cavalry, E-J"
"Hunter, J J - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hunter, J W - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Hunter, L M - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hunter, W - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Hunter, Willis - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Hunter, W J - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Hurcox, J - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Hurd, S D - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Hurt, H H - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Huston, John - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Hutchings, Miles W - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Hutchinson, Edward - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Hutchison, Edward - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Huton, H C - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Ingram, A C - Age 24, Year: 1865 - First Cavalry, E-J"
"Ingram, J - Age [Blank], Year: 1861 - First Cavalry, E-J"
"Ingram, J B - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Ingram, T C - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Ireland, S S - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Irwin, F R - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Isom, James - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Ivey, John - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Ivy, John C - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Ivy, W T - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Jackson, B F - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Jackson, C W - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Jackson, J K P - Age 19, Year: 1861 - First Cavalry, E-J"
"Jackson, Joseph C - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Jackson, J P - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Jackson, Samuel D - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Jackson, Thomas H - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Jackson, William R - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Jackson, William W - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Jackson, W N - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Jacobs, G W - Age [Blank], Year: 1865 - First Cavalry, E-J"
"James, Thomas G - Age [Blank], Year: 1865 - First Cavalry, E-J"
"James, W T - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Jamison, W A - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Janes, A - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Jannigan, Frank - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Jardon, A W - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Jarnagin, J C - Age [Blank], Year: 1861 - First Cavalry, E-J"
"Jemison, W A - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Jenkins, Jesse L - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Jenkins, J F - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Jenkins, J L - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Jenkins, John - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Jenkins, Presley - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Jenkins, Riley - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Jennings, Francis M - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Jernigan, D B - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Jernigan, D M - Age 32, Year: 1862 - First Cavalry, E-J"
"Jernigan, Francis - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Jinkens, W R - Age 26, Year: 1864 - First Cavalry, E-J"
"Jinkins, James F - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Johnson, B F - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Johnson, Elijah - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Johnson, Hery A - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Johnson, J J - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Johnson, John M - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Johnson, John W - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Johnson, T - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Johnson, Thomas W - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Johnson, Woodson - Age [Blank], Year: 1861 - First Cavalry, E-J"
"Johnston, H B - Age [Blank], Year: 1861 - First Cavalry, E-J"
"Joiner, R E - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Joiner, William N - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Joiner, W N - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Jolly, J M - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Jones, Allen - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Jones, Benjamin - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Jones, Charles - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Jones, Daniel - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Jones, Ed P - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Jones, G W - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Jones, James - Age 25, Year: 1862 - First Cavalry, E-J"
"Jones, J D - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Jones, John L - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Jones, J W - Age 18, Year: 1861 - First Cavalry, E-J"
"Jones, R H - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Jones, Samuel B - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Jones, Thomas - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Jones, William H - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Jordan, A J - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Jordan, A W - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Jordan, C M - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Jordan, Josiah T - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Jorden, C N - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Jorden, Josiah T - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Jordon, John J - Age [Blank], Year: 1864 - First Cavalry, E-J"
"[BLANK], [BLANK] - Age [BLANK], Year: [BLANK] - First Cavalry, K-R"
"Kaigler, C M - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Karr, W H - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Keith, J C - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Keith, T C - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Kelley, D P - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Kelley, James - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Kelley, Joseph - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Kelly, Samuel - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Kelly, W R - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Kendall, Robert B - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Kendall, Robert - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Kendrick, M - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Kennedy, S B - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Kennedy, T B - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Kent, G W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Keown, Robert W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Kerr, M H - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Key, George W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Kiles, J S - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Kimble, W W - Age [Blank], Year: 1863 - First Cavalry, K-R"
"King, James A - Age [Blank], Year: 1862 - First Cavalry, K-R"
"King, J B - Age [Blank], Year: 1863 - First Cavalry, K-R"
"King, Jos M - Age [Blank], Year: 1862 - First Cavalry, K-R"
"King, Joseph - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"King, J S - Age [Blank], Year: 1862 - First Cavalry, K-R"
"King, W W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Kingsley, H C - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Kingsley, Orrin - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Kirkwood, W C - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Kirkwood, W O - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Knot, R M - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Knox, Richard M - Age 22, Year: 1861 - First Cavalry, K-R"
"Knox, W H - Age 25, Year: 1861 - First Cavalry, K-R"
"Koppe, Chas - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Koppe, Charles - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Krain, Joseph - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Kuykindall, A D - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Kyles, J S - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Lagrone, N C - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Laird, John S - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Lancaster, William H H - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Lang, Edward - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Langham, Thos P - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Langston, D P - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Langston, W C - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Langston, W F - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Lanham, M I - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Laniasteia, W H - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Lard, J S - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Lathem, Leander J - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Lauderdale, J A - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Laughlin, Alex - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Lawhorn, N J - Age 28, Year: 1862 - First Cavalry, K-R"
"Lawrence, W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Layng, Edward - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Lea, Joseph - Age [Blank], Year: 1861 - First Cavalry, K-R"
"Lea, Pryor - Age [Blank], Year: 1861 - First Cavalry, K-R"
"Leach, J N - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Leach, W P - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Lee, James - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Lee, M M - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Leigon, C P - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Leland, H D - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Leland, J R - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Leland, T B - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Lenders, Martin - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Lenoir, J G - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Lenox, R J - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Leopard, Z T - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Lepard, James S - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Leppard, Z T - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Leslie, William A - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Leslie, W M - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Lester, J G - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Lester, J H - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Lester, W B - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Lester, W J - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Lester, W V - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Levengood, W M - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Levingood, A W - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Lewellen, Robert P - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Lewelling, W H - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Lewis, C A - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Lewis, Charles - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Lewis, Clark - Age [Blank], Year: 1861 - First Cavalry, K-R"
"Lewis, Samuel P - Age [Blank], Year: 1861 - First Cavalry, K-R"
"Lewlyn, Robert P - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Lightfoot, George T - Age 21, Year: 1864 - First Cavalry, K-R"
"Ligon, C P - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Ligon, R M - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Linch, Lewis - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Linder, John - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Lindsay, A J - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Lindsay, H M - Age [Blank], Year: 1861 - First Cavalry, K-R"
"Lindsay, W J - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Lindsey, J - Age 17, Year: 1862 - First Cavalry, K-R"
"Lipsey, E J - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Lisk, A - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Little, E S - Age [Blank], Year: 1862 - First Cavalry, K-R"
